,Unnamed: 0,MapRefNo,Neighborhood_x,GrLivArea,LotArea,LotShape,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MSSubClass_other,MSSubClass_1-1/2 STORY FINISHED ALL AGES,MSSubClass_1-STORY 1945 & OLDER,MSSubClass_1-STORY 1946 & NEWER ALL STYLES,MSSubClass_1-STORY PUD (Planned Unit Development) - 1946 & NEWER,MSSubClass_2-STORY 1945 & OLDER,MSSubClass_2-STORY 1946 & NEWER,MSSubClass_2-STORY PUD - 1946 & NEWER,MSSubClass_DUPLEX - ALL STYLES AND AGES,MSSubClass_SPLIT OR MULTI-LEVEL,MSZoning_other,MSZoning_FV,MSZoning_RL,MSZoning_RM,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,Utilities_AllPub,Utilities_NoSewr,LotConfig_other,LotConfig_CulDSac,LotConfig_FR2,LotConfig_Inside,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_other,Condition1_Artery,Condition1_Feedr,Condition1_Norm,Condition2_other,Condition2_Norm,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_other,HouseStyle_1.5Fin,HouseStyle_1Story,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_other,RoofStyle_Gable,RoofStyle_Hip,RoofMatl_other,RoofMatl_CompShg,Exterior1st_other,Exterior1st_BrkFace,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_other,Exterior2nd_BrkFace,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_MetalSd,Exterior2nd_Plywood,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,MasVnrType_other,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,Foundation_other,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Heating_other,Heating_GasA,Electrical_other,Electrical_FuseA,Electrical_SBrkr,GarageType_other,GarageType_Attchd,GarageType_BuiltIn,GarageType_Detchd,PavedDrive_N,PavedDrive_P,PavedDrive_Y,SalePrice,TotalSF,Price/SF,BsmtPercentUnfinished,LowQualFinishedPercent,TotalAuxSF,relativeAuxSF,Price/AuxSF,LogSalePrice,Prop_Addr,Neighborhood_y,Address,geometry,address,lon,lat,nearest_park,nearest_stream,ISU_distance,nearest_large_park,neighborhood_YearBuilt,neighborhood_TotalSF,neighborhood_Price/SF,neighborhood_count,neighborhood_median_price,TotalSf-NSF,Price/SF-NPrice/SF,SalePrice-NMedPrice,YearBuilt-NYearBuilt
0,898,903233100,BrkSide,1576,6240,0,1,5,6,1928,1950,0.0,3,3,3,3,1,1,0.0,1,0.0,1042.0,1042.0,5,1,1042,534,0,0.0,0.0,1,0,3,1,3,8,8,1,1928.0,1,1.0,225.0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,149000,2618.0,56.91367456073338,1.0,0.0,6465.0,-4434.10924369748,23.04717710750193,11.911701584927595,1015 HARDING AVE,BrkSide,1015 HARDING AVE Ames Iowa,POINT (-93.62152304040404 42.03154212121212),"1015, Harding Avenue, Ames, Story County, Iowa, 50010, United States",-93.62152304040404,42.03154212121212,0.006233899217237892,0.007463756961469967,0.0232648726491594,0.006233899217237892,1930.0,2066.0,62.697576396206536,73,128500.0,552.0,-5.783901835473159,20500.0,-2.0
1,1988,903236010,BrkSide,1285,8635,0,1,5,5,1948,2001,0.0,3,3,3,3,1,4,336.0,6,41.0,295.0,672.0,3,1,1072,213,0,1.0,0.0,1,0,2,1,3,6,7,0,1948.0,1,1.0,240.0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,127000,1957.0,64.89524782830864,0.4389880952380952,0.0,8875.0,-2024.1092436974795,14.309859154929578,11.751942365440728,808 10TH ST,BrkSide,808 10TH ST Ames Iowa,POINT (-93.6216291632653 42.03121285714285),"808, 10th Street, Ames, Story County, Iowa, 50010, United States",-93.6216291632653,42.031212857142854,0.005993227104726391,0.0073007282289312215,0.02314206780330822,0.005993227104726391,1930.0,2066.0,62.697576396206536,73,128500.0,-109.0,2.197671432102105,-1500.0,18.0
2,465,903235020,BrkSide,616,6000,0,1,5,7,1921,1950,0.0,3,3,3,3,1,2,616.0,1,0.0,0.0,616.0,4,1,616,0,0,0.0,0.0,1,0,2,1,3,4,8,0,1921.0,1,1.0,205.0,3,3,0,0,129,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,89000,1232.0,72.24025974025975,0.0,0.0,6334.0,-4565.10924369748,14.051152510262078,11.396391648714276,1018 10TH ST,BrkSide,1018 10TH ST Ames Iowa,POINT (-93.62385053019987 42.03118540718059),"1018, 10th Street, Ames, Story County, Iowa, 50010, United States",-93.62385053019987,42.03118540718059,0.004012059560865584,0.005129780189174351,0.02092177151859112,0.004012059560865584,1930.0,2066.0,62.697576396206536,73,128500.0,-834.0,9.54268334405321,-39500.0,-9.0
3,703,903228120,BrkSide,904,6000,0,1,6,7,1926,2004,0.0,4,3,3,3,1,1,0.0,1,0.0,884.0,884.0,4,1,904,0,0,0.0,0.0,1,0,2,1,3,4,8,0,1926.0,1,1.0,180.0,3,3,0,0,105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,119000,1788.0,66.55480984340045,1.0,0.0,6285.0,-4614.10924369748,18.933969769291966,11.686878772093667,1214 ROOSEVELT AVE,BrkSide,1214 ROOSEVELT AVE Ames Iowa,POINT (-93.62241285714285 42.03356314285715),"1214, Roosevelt Avenue, Ames, Story County, Iowa, 50010, United States",-93.62241285714285,42.03356314285715,0.006307610212918178,0.00687873578830592,0.0225888223460925,0.006307610212918178,1930.0,2066.0,62.697576396206536,73,128500.0,-278.0,3.857233447193913,-9500.0,-4.0
4,2070,903227150,BrkSide,1453,6360,0,1,5,6,1942,1950,300.0,3,3,3,3,1,3,360.0,2,159.0,316.0,835.0,3,1,955,498,0,0.0,0.0,1,1,3,1,4,7,6,2,1942.0,1,1.0,240.0,3,3,0,0,35,0,148,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,132000,2288.0,57.69230769230769,0.3784431137724551,0.0,6783.0,-4116.10924369748,19.460415745245463,11.790557201568507,1230 MARSTON AVE,BrkSide,1230 MARSTON AVE Ames Iowa,POINT (-93.62349271428572 42.03371334693878),"1230, Marston Avenue, Ames, Story County, Iowa, 50010, United States",-93.62349271428572,42.033713346938775,0.005522839722456669,0.005894576886564764,0.021545701194261385,0.005522839722456669,1930.0,2066.0,62.697576396206536,73,128500.0,222.0,-5.005268703898842,3500.0,12.0
5,1245,903202120,BrkSide,1577,6435,0,1,6,5,1939,1950,0.0,3,3,3,3,1,1,0.0,1,0.0,972.0,972.0,4,1,972,605,0,0.0,0.0,1,0,3,1,2,6,8,1,1939.0,1,1.0,312.0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,140200,2549.0,55.00196155355041,1.0,0.0,6747.0,-4152.10924369748,20.779605750704015,11.850825253582627,1036 RIDGEWOOD AVE,BrkSide,1036 RIDGEWOOD AVE Ames Iowa,POINT (-93.62635229303133 42.0324470955923),"1036, Ridgewood Avenue, Ridgewood, Ames, Story County, Iowa, 50010, United States",-93.62635229303133,42.0324470955923,0.0026587862303990607,0.0027843823421010556,0.018534118083443647,0.0026587862303990607,1930.0,2066.0,62.697576396206536,73,128500.0,483.0,-7.695614842656127,11700.0,9.0
6,1467,903233120,BrkSide,1536,6240,0,1,5,5,1930,1950,0.0,3,3,3,3,1,2,448.0,1,0.0,480.0,928.0,3,1,928,608,0,0.0,0.0,2,0,4,1,3,7,8,1,1930.0,1,2.0,480.0,3,3,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,138400,2464.0,56.16883116883117,0.5172413793103449,0.0,6730.0,-4169.10924369748,20.564635958395247,11.837903322165706,1005 HARDING AVE,BrkSide,1005 HARDING AVE Ames Iowa,POINT (-93.62152086868687 42.03145560606061),"1005, Harding Avenue, Ames, Story County, Iowa, 50010, United States",-93.62152086868687,42.03145560606061,0.0061965400259885095,0.0074636715422615445,0.023262180621744996,0.0061965400259885095,1930.0,2066.0,62.697576396206536,73,128500.0,398.0,-6.528745227375367,9900.0,0.0
7,1455,903226170,BrkSide,1176,6000,0,1,6,9,1937,2000,0.0,4,3,3,3,1,1,0.0,1,0.0,698.0,698.0,3,1,786,390,0,0.0,0.0,1,0,2,1,3,4,8,0,1999.0,1,2.0,624.0,3,3,210,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,134900,1874.0,71.98505869797225,1.0,0.0,6624.0,-4275.10924369748,20.36533816425121,11.812289042195848,1226 CURTISS AVE,BrkSide,1226 CURTISS AVE Ames Iowa,POINT (-93.62453530612244 42.03367444897959),"1226, Curtiss Avenue, Ames, Story County, Iowa, 50010, United States",-93.62453530612244,42.03367444897959,0.004740528253462614,0.004910395652386681,0.020511196036212473,0.004740528253462614,1930.0,2066.0,62.697576396206536,73,128500.0,-192.0,9.287482301765714,6400.0,7.0
8,745,534451130,BrkSide,747,5825,1,1,4,5,1926,1953,108.0,3,4,2,3,2,1,0.0,1,0.0,600.0,600.0,4,1,747,0,0,0.0,0.0,1,0,1,1,3,5,8,0,1953.0,1,2.0,528.0,3,3,0,0,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,79900,1347.0,59.3170007423905,1.0,0.0,6385.0,-4514.10924369748,12.513703993735318,11.288531131754366,1414 SUMMIT AVE,BrkSide,1414 SUMMIT AVE Ames Iowa,POINT (-93.62930107326689 42.0355057683593),"1414, Summit Avenue, Ridgewood, Ames, Story County, Iowa, 50010, United States",-93.62930107326689,42.0355057683593,0.0012432720341531906,0.0024134003622922006,0.016336030757345413,0.0012432720341531906,1930.0,2066.0,62.697576396206536,73,128500.0,-719.0,-3.380575653816038,-48600.0,-4.0
9,883,903401020,BrkSide,1820,9120,0,1,7,6,1925,1950,0.0,3,4,3,3,1,3,329.0,1,0.0,697.0,1026.0,5,1,1133,687,0,1.0,0.0,2,0,4,1,3,8,8,0,1925.0,1,1.0,240.0,3,3,0,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,184000,2846.0,64.65214335910049,0.6793372319688109,0.0,9460.0,-1439.1092436974795,19.45031712473573,12.122691036591124,711 RIDGEWOOD AVE,BrkSide,711 RIDGEWOOD AVE Ames Iowa,POINT (-93.62558708257562 42.02831142974932),"711, Ridgewood Avenue, Chautauqua Park, Ames, Story County, Iowa, 50010, United States",-93.62558708257562,42.028311429749316,0.0012299324841367747,0.0026572015018715544,0.019253674694384937,0.0012299324841367747,1930.0,2066.0,62.697576396206536,73,128500.0,780.0,1.9545669628939564,55500.0,-5.0
