,Unnamed: 0,MapRefNo,Neighborhood_x,GrLivArea,LotArea,LotShape,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MSSubClass_other,MSSubClass_1-1/2 STORY FINISHED ALL AGES,MSSubClass_1-STORY 1945 & OLDER,MSSubClass_1-STORY 1946 & NEWER ALL STYLES,MSSubClass_1-STORY PUD (Planned Unit Development) - 1946 & NEWER,MSSubClass_2-STORY 1945 & OLDER,MSSubClass_2-STORY 1946 & NEWER,MSSubClass_2-STORY PUD - 1946 & NEWER,MSSubClass_DUPLEX - ALL STYLES AND AGES,MSSubClass_SPLIT OR MULTI-LEVEL,MSZoning_other,MSZoning_FV,MSZoning_RL,MSZoning_RM,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,Utilities_AllPub,Utilities_NoSewr,LotConfig_other,LotConfig_CulDSac,LotConfig_FR2,LotConfig_Inside,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_other,Condition1_Artery,Condition1_Feedr,Condition1_Norm,Condition2_other,Condition2_Norm,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_other,HouseStyle_1.5Fin,HouseStyle_1Story,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_other,RoofStyle_Gable,RoofStyle_Hip,RoofMatl_other,RoofMatl_CompShg,Exterior1st_other,Exterior1st_BrkFace,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_other,Exterior2nd_BrkFace,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_MetalSd,Exterior2nd_Plywood,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,MasVnrType_other,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,Foundation_other,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Heating_other,Heating_GasA,Electrical_other,Electrical_FuseA,Electrical_SBrkr,GarageType_other,GarageType_Attchd,GarageType_BuiltIn,GarageType_Detchd,PavedDrive_N,PavedDrive_P,PavedDrive_Y,SalePrice,TotalSF,Price/SF,BsmtPercentUnfinished,LowQualFinishedPercent,TotalAuxSF,relativeAuxSF,Price/AuxSF,LogSalePrice,Prop_Addr,Neighborhood_y,Address,geometry,address,lon,lat,nearest_park,nearest_stream,ISU_distance,nearest_large_park,neighborhood_YearBuilt,neighborhood_TotalSF,neighborhood_Price/SF,neighborhood_count,neighborhood_median_price,TotalSf-NSF,Price/SF-NPrice/SF,SalePrice-NMedPrice,YearBuilt-NYearBuilt
0,1736,923250210,Mitchel,988,21750,0,2,5,5,1954,1954,0.0,3,3,3,3,1,1,0.0,1,0.0,988.0,988.0,5,1,988,0,0,0.0,0.0,1,0,2,1,3,4,8,0,1954.0,2,2.0,520.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,113000,1976.0,57.18623481781376,1.0,0.0,22270.0,11502.443217665616,5.074090704984283,11.635143097694478,3714 S DUFF AVE,Mitchel,3714 S DUFF AVE Ames Iowa,POINT (-93.61007435650592 41.98884296651742),"3714, South Duff Avenue, Ames, Story County, Iowa, 50010, United States",-93.61007435650592,41.98884296651742,0.007082802579652746,0.0006796244401820094,0.0539633995935114,0.03439975861120981,1978.0,2376.0,71.60596026490066,81,157000.0,-400.0,-14.419725447086897,-44000.0,-24.0
1,249,923275200,Mitchel,816,8314,0,1,5,7,1982,1982,0.0,3,3,3,3,4,5,546.0,1,0.0,270.0,816.0,3,1,816,0,0,0.0,0.0,1,0,2,1,3,5,8,0,1982.0,1,1.0,264.0,3,3,168,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,124500,1632.0,76.28676470588235,0.3308823529411764,0.0,8578.0,-2189.5567823343845,14.513872697598508,11.7320609948869,3827 MINNETONKA AVE,Mitchel,3827 MINNETONKA AVE Ames Iowa,POINT (-93.60435779961487 41.98823225980949),"3827, Minnetonka Avenue, Ames, Story County, Iowa, 50010, United States",-93.60435779961487,41.988232259809486,0.005622601321875982,0.0015945934521983498,0.05824122606544497,0.03845689021281021,1978.0,2376.0,71.60596026490066,81,157000.0,-744.0,4.680804440981689,-32500.0,4.0
2,676,923201100,Mitchel,1008,12518,1,1,5,7,1968,1968,182.0,3,3,3,3,1,5,532.0,1,0.0,476.0,1008.0,4,1,1008,0,0,0.0,0.0,1,0,3,1,4,6,8,0,1968.0,1,1.0,384.0,3,3,144,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,139500,2016.0,69.19642857142857,0.4722222222222222,0.0,12902.0,2134.4432176656155,10.8122771663308,11.845819880243557,601 JEWEL DR,Mitchel,601 JEWEL DR Ames Iowa,POINT (-93.604106 41.993425),"601, Jewel Drive, Ames, Story County, Iowa, 50010, United States",-93.604106,41.993425,0.00042930136137984845,0.0023383558038263435,0.05480545294573309,0.03492777990152965,1978.0,2376.0,71.60596026490066,81,157000.0,-360.0,-2.40953169347209,-17500.0,-10.0
3,762,923204140,Mitchel,1632,25000,0,1,5,4,1967,1967,0.0,3,3,3,3,3,1,0.0,1,0.0,1632.0,1632.0,3,1,1632,0,0,0.0,0.0,2,0,4,2,3,8,8,0,1967.0,1,2.0,576.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,143000,3264.0,43.81127450980392,1.0,0.0,25576.0,14808.443217665616,5.5911792305286205,11.870599909242044,3310 OPAL DR 3312,Mitchel,3310 OPAL DR 3312 Ames Iowa,POINT (-93.60743936126562 41.99308116084478),"3310, Opal Drive, Ames, Story County, Iowa, 50010, United States",-93.60743936126562,41.99308116084478,0.00249175941120217,0.0001235033078154065,0.05262316423851984,0.03279863717625133,1978.0,2376.0,71.60596026490066,81,157000.0,888.0,-27.794685755096737,-14000.0,-11.0
4,2099,923201020,Mitchel,1264,15300,0,1,5,5,1965,1977,0.0,3,3,3,3,1,3,42.0,1,0.0,1026.0,1068.0,3,1,1264,0,0,1.0,0.0,1,0,2,1,3,7,8,1,1965.0,1,2.0,528.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,169000,2332.0,72.46998284734134,0.9606741573033708,0.0,15828.0,5060.443217665616,10.677280768258782,12.037653993905211,321 JEWEL DR,Mitchel,321 JEWEL DR Ames Iowa,POINT (-93.6072161313927 41.99335964301636),"321, Jewel Drive, Ames, Story County, Iowa, 50010, United States",-93.6072161313927,41.99335964301636,0.0021580100605304467,0.00023301711607438022,0.052586238994154814,0.032750692613673825,1978.0,2376.0,71.60596026490066,81,157000.0,-44.0,0.8640225824406826,12000.0,-13.0
5,1797,914474020,Mitchel,1491,9116,0,1,8,5,2001,2001,0.0,4,3,5,3,1,1,0.0,1,0.0,1491.0,1491.0,5,1,1491,0,0,0.0,0.0,2,0,3,1,4,7,8,0,2001.0,2,2.0,490.0,3,3,120,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,209000,2982.0,70.08718980549966,1.0,0.0,9706.0,-1061.5567823343845,21.533072326396045,12.250089530946948,3001 SAPPHIRE CIR,Mitchel,3001 SAPPHIRE CIR Ames Iowa,POINT (-93.60378 41.995862),"3001, Sapphire Circle, Ames, Story County, Iowa, 50010, United States",-93.60378,41.995862,0.0007071769227071462,0.0043822346088407075,0.05345072359511846,0.03349416474746323,1978.0,2376.0,71.60596026490066,81,157000.0,606.0,-1.5187704594009972,52000.0,23.0
6,572,923203140,Mitchel,1189,4500,0,1,6,5,1997,1997,197.0,3,3,5,3,1,6,864.0,1,0.0,325.0,1189.0,5,1,1189,0,0,1.0,0.0,2,0,2,1,3,4,8,0,1997.0,2,2.0,392.0,3,3,0,122,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,160500,2378.0,67.49369217830109,0.2733389402859545,0.0,5014.0,-5753.5567823343845,32.01037096130834,11.986049221552207,3328 EMERALD DR,Mitchel,3328 EMERALD DR Ames Iowa,POINT (-93.60816571991228 41.99295948712776),"3328, Emerald Drive, Ames, Story County, Iowa, 50010, United States",-93.60816571991228,41.992959487127756,0.003159057395719437,0.0008230148426087719,0.05219742050162249,0.032395302680607925,1978.0,2376.0,71.60596026490066,81,157000.0,2.0,-4.11226808659957,3500.0,19.0
7,546,923203110,Mitchel,1204,4500,0,1,6,5,1998,1998,320.0,3,3,5,3,1,6,866.0,1,0.0,338.0,1204.0,5,1,1204,0,0,1.0,0.0,2,0,2,1,3,5,8,0,1998.0,3,2.0,412.0,3,3,0,247,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,162000,2408.0,67.27574750830564,0.2807308970099668,0.0,5159.0,-5608.5567823343845,31.401434386509013,11.99535161421452,3322 EMERALD DR,Mitchel,3322 EMERALD DR Ames Iowa,POINT (-93.60816449421679 41.99302302560038),"3322, Emerald Drive, Ames, Story County, Iowa, 50010, United States",-93.6081644942168,41.99302302560038,0.003122811440256469,0.0008063656737845625,0.052152977263252374,0.03234906466869649,1978.0,2376.0,71.60596026490066,81,157000.0,32.0,-4.330212756595017,5000.0,20.0
8,1887,923225510,Mitchel,874,10172,1,1,5,7,1968,2003,0.0,3,3,3,3,1,5,441.0,1,0.0,423.0,864.0,5,1,874,0,0,1.0,0.0,1,0,3,1,3,5,8,0,1968.0,2,1.0,288.0,3,3,0,120,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,126500,1738.0,72.78481012658227,0.4895833333333333,0.0,10580.0,-187.55678233438448,11.956521739130435,11.747997587149712,3319 HARCOURT DR,Mitchel,3319 HARCOURT DR Ames Iowa,POINT (-93.60428137635301 41.99298177493699),"3319, Harcourt Drive, Ames, Story County, Iowa, 50010, United States",-93.60428137635301,41.992981774936986,0.0008729245228818227,0.0018898773563015361,0.05497455235247924,0.03510534084021662,1978.0,2376.0,71.60596026490066,81,157000.0,-638.0,1.1788498616816128,-30500.0,-10.0
9,629,923227100,Mitchel,1360,13384,0,2,5,5,1969,1979,194.0,3,3,3,3,3,3,119.0,4,344.0,641.0,1104.0,2,1,1360,0,0,1.0,0.0,1,0,3,1,3,8,8,1,1969.0,2,1.0,336.0,3,3,160,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,140000,2464.0,56.81818181818182,0.5806159420289855,0.0,13720.0,2952.4432176656155,10.20408163265306,11.84939770159144,3330 JEWEL DR,Mitchel,3330 JEWEL DR Ames Iowa,POINT (-93.60411910000001 41.9933402),"Jewel Drive, Ames, Story County, Iowa, 50010, United States",-93.6041191,41.9933402,0.0005141309639979826,0.0022660740491927695,0.05485267423647757,0.03497655663412584,1978.0,2376.0,71.60596026490066,81,157000.0,88.0,-14.78777844671884,-17000.0,-9.0
