,MapRefNo,GrLivArea,SalePrice,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,TotalSF,Price/SF,BsmtPercentUnfinished,LowQualFinishedPercent,TotalAuxSF,relativeAuxSF,Price/AuxSF,SchD_S,GLA,LndAc_S,Ext1,OthAc_S,ImpAc_S,ValType,NmbrBRs,Rcrd_Yr,GarYrBlt,TtlBsmtSF,TxD_S,YrBuilt,PA-Strt,PA-StSfx,Central Air,Source,AcreNt_S,Ext2,TtlVal_AsrYr,PA-Nmbr,AcreGr,Rcrd_Mo,Cars,Date
0,909176150,856,126000,30,RL,7890,Pave,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,1Story,6,6,1939,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,238.0,Unf,0.0,618.0,856.0,GasA,TA,Y,SBrkr,856,0,0,1.0,0.0,1,0,2,1,TA,4,Typ,1,Detchd,1939.0,Unf,2.0,399.0,TA,TA,Y,0,0,0,0,166,0,0,3,2010,WD ,Normal,1712.0,73.59813084112149,0.7219626168224299,0.0,8455.0,-2221.488372093023,14.902424600827912,1,856.0,37300,Wd Sdng,111700,0,F,2.0,2017.0,1939.0,856.0,1,1939.0,HAYWARD,AVE,Yes,Ames City Assessor,0.0,Wd Sdng,149000,436,0.0,2.0,2.0,10-Jul-20
1,905476230,1049,139500,120,RL,4235,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,1Story,5,5,1984,1984,Gable,CompShg,HdBoard,HdBoard,BrkFace,149.0,Gd,TA,CBlock,Gd,TA,Mn,GLQ,552.0,ALQ,393.0,104.0,1049.0,GasA,TA,Y,SBrkr,1049,0,0,1.0,0.0,2,0,2,1,Gd,5,Typ,0,Attchd,1984.0,Fin,1.0,266.0,TA,TA,Y,0,105,0,0,0,0,0,2,2009,WD ,Normal,2098.0,66.49189704480457,0.09914204003813155,0.0,4606.0,-6070.488372093023,30.28658271819366,1,1049.0,43500,HdBoard,130600,0,F,2.0,2020.0,1984.0,1049.0,1,1984.0,WEST,ST,Yes,Ames City Assessor,0.0,HdBoard,174100,3416,0.0,1.0,1.0,10-Jul-20
2,905476230,1049,139500,120,RL,4235,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,1Story,5,5,1984,1984,Gable,CompShg,HdBoard,HdBoard,BrkFace,149.0,Gd,TA,CBlock,Gd,TA,Mn,GLQ,552.0,ALQ,393.0,104.0,1049.0,GasA,TA,Y,SBrkr,1049,0,0,1.0,0.0,2,0,2,1,Gd,5,Typ,0,Attchd,1984.0,Fin,1.0,266.0,TA,TA,Y,0,105,0,0,0,0,0,2,2009,WD ,Normal,2098.0,66.49189704480457,0.09914204003813155,0.0,4606.0,-6070.488372093023,30.28658271819366,1,1049.0,43500,HdBoard,130600,0,F,2.0,2020.0,1984.0,1049.0,1,1984.0,WEST,ST,Yes,Ames City Assessor,0.0,HdBoard,174100,3416,0.0,1.0,1.0,10-Jul-20
3,911128020,1001,124900,30,C (all),6060,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,5,9,1930,2007,Hip,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,BrkTil,TA,TA,No,ALQ,737.0,Unf,0.0,100.0,837.0,GasA,Ex,Y,SBrkr,1001,0,0,0.0,0.0,1,0,2,1,Gd,5,Typ,0,Detchd,1930.0,Unf,1.0,216.0,TA,Po,N,154,0,42,86,0,0,0,11,2007,WD ,Normal,1838.0,67.95429815016323,0.11947431302270012,0.0,6404.0,-4272.488372093023,19.503435352904436,1,1001.0,41100,MetalSd,123200,0,F,2.0,2016.0,1930.0,837.0,1,1930.0,2ND,ST,Yes,Ames City Assessor,0.0,MetalSd,164300,320,0.0,4.0,1.0,10-Jul-20
4,535377150,1039,114000,70,RL,8146,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,8,1900,2003,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,Gd,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,405.0,405.0,GasA,Gd,Y,SBrkr,717,322,0,0.0,0.0,1,0,2,1,TA,6,Typ,0,Detchd,1940.0,Unf,1.0,281.0,TA,TA,N,0,0,168,0,111,0,0,5,2009,WD ,Normal,1444.0,78.94736842105263,1.0,0.0,8706.0,-1970.488372093023,13.094417643004824,1,1039.0,31100,MetalSd,93300,0,F,2.0,2019.0,1940.0,405.0,1,1900.0,DOUGLAS,AVE,Yes,Ames City Assessor,0.0,MetalSd,124400,1524.0,0.0,10.0,1.0,10-Jul-20
5,534177230,1665,227000,60,RL,8400,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,8,6,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,643.0,Unf,0.0,167.0,810.0,GasA,Ex,Y,SBrkr,810,855,0,1.0,0.0,2,1,3,1,Gd,6,Typ,0,Attchd,2001.0,Fin,2.0,528.0,TA,TA,Y,0,45,0,0,0,0,0,11,2009,WD ,Normal,2475.0,91.71717171717172,0.20617283950617285,0.0,8973.0,-1703.488372093023,25.298116571938035,1,1665.0,64300,VinylSd,192800,0,F,3.0,2017.0,2001.0,810.0,1,2001.0,FILLMORE,AVE,Yes,Ames City Assessor,0.0,VinylSd,257100,2304.0,0.0,6.0,2.0,10-Jul-20
7,902135020,936,93000,20,RM,6000,Pave,Reg,Bnk,AllPub,Inside,Mod,OldTown,Norm,Norm,2fmCon,1Story,4,4,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,0.0,Fa,TA,CBlock,Fa,TA,No,Unf,0.0,Unf,0.0,936.0,936.0,GasA,TA,N,SBrkr,936,0,0,0.0,0.0,1,0,2,1,TA,4,Min2,0,Detchd,1974.0,Unf,2.0,576.0,TA,TA,Y,0,32,112,0,0,0,0,2,2009,WD ,Normal,1872.0,49.67948717948718,1.0,0.0,6720.0,-3956.488372093023,13.839285714285714,1,936.0,34800,MetalSd,104500,0,F,2.0,2016.0,1974.0,936.0,1,1953.0,10TH,ST,No,Ames City Assessor,0.0,MetalSd,139300,212.0,0.0,12.0,2.0,10-Jul-20
8,528228540,1246,187687,20,RL,3710,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,1Fam,1Story,7,5,2007,2008,Gable,CompShg,WdShing,Wd Shng,BrkFace,20.0,Gd,TA,PConc,Gd,TA,Gd,Unf,0.0,Unf,0.0,1146.0,1146.0,GasA,Ex,Y,SBrkr,1246,0,0,0.0,0.0,2,0,2,1,Gd,5,Typ,1,Attchd,2007.0,Fin,2.0,428.0,TA,TA,Y,100,24,0,0,0,0,0,3,2008,New,Partial,2392.0,78.46446488294315,1.0,0.0,4162.0,-6514.488372093023,45.095386833253244,5,1246.0,56400,WdShing,169100,0,F,2.0,2020.0,2007.0,1146.0,45,2007.0,LAKESIDE,DR,Yes,Ames City Assessor,0.0,Wd Shng,225500,2431.0,0.0,3.0,2.0,10-Jul-20
9,923426010,889,137500,20,RL,12395,Pave,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,6,1984,1984,Gable,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,647.0,Unf,0.0,217.0,864.0,GasA,TA,Y,SBrkr,889,0,0,0.0,0.0,1,0,3,1,TA,6,Typ,0,Attchd,1984.0,Unf,2.0,484.0,TA,TA,Y,0,0,0,0,0,0,0,4,2008,WD ,Normal,1753.0,78.43696520250998,0.2511574074074074,0.0,12879.0,2202.511627906977,10.676294743380698,1,889.0,41200,HdBoard,123600,0,F,3.0,2012.0,1984.0,864.0,1,1984.0,KEN MARIL,RD,Yes,Ames City Assessor,0.0,Plywood,164800,602,0.0,10.0,2.0,10-Jul-20
10,908186050,1072,140000,180,RM,3675,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Stone,76.0,TA,TA,PConc,Gd,TA,Gd,GLQ,467.0,Unf,0.0,80.0,547.0,GasA,Ex,Y,SBrkr,1072,0,0,1.0,0.0,1,0,2,1,Gd,5,Typ,0,Basment,2005.0,Fin,2.0,525.0,TA,TA,Y,0,44,0,0,0,0,0,5,2007,WD ,Normal,1619.0,86.47313156269303,0.14625228519195613,0.0,4244.0,-6432.488372093023,32.98774740810556,1,1072.0,43700,VinylSd,131200,0,F,2.0,2015.0,2005.0,547.0,1,2005.0,MARIGOLD,DR,Yes,Ames City Assessor,0.0,VinylSd,174900,3901,0.0,5.0,2.0,10-Jul-20
