ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,"Under 5 Years",6057,"2019",2568,487,"Ames, IA","16000US1901855","ames-ia","Native Born",0.038895536403980434
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,"5 to 17 Years",6057,"2019",5016,796,"Ames, IA","16000US1901855","ames-ia","Native Born",0.07597352437786832
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",6,"18 to 24 Years",6057,"2019",25542,1529,"Ames, IA","16000US1901855","ames-ia","Native Born",0.38686518334519787
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",9,"25 to 34 Years",6057,"2019",7084,887,"Ames, IA","16000US1901855","ames-ia","Native Born",0.10729594232312982
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",12,"35 to 44 Years",6057,"2019",3942,606,"Ames, IA","16000US1901855","ames-ia","Native Born",0.05970646592854006
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",15,"45 to 54 Years",6057,"2019",3419,688,"Ames, IA","16000US1901855","ames-ia","Native Born",0.05178498402072005
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",18,"55 to 59 Years",6057,"2019",2213,451,"Ames, IA","16000US1901855","ames-ia","Native Born",0.03351862229828999
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",21,"60 & 61 Years",6057,"2019",682,261,"Ames, IA","16000US1901855","ames-ia","Native Born",0.010329733577692622
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",24,"62 to 64 Years",6057,"2019",1254,406,"Ames, IA","16000US1901855","ames-ia","Native Born",0.01899338109446708
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,"65 to 74 Years",6057,"2019",3290,525,"Ames, IA","16000US1901855","ames-ia","Native Born",0.04983111945837057
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",30,"75 Years & Over",6057,"2019",2590,438,"Ames, IA","16000US1901855","ames-ia","Native Born",0.03922875361616406
3,"Foreign Born",0,"Under 5 Years",2019,"2019",86,57.00000000000001,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0013025763748996562
3,"Foreign Born",1,"5 to 17 Years",2019,"2019",344,142,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.005210305499598625
3,"Foreign Born",2,"18 to 24 Years",2019,"2019",2856,319,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.043257652636202536
3,"Foreign Born",3,"25 to 34 Years",2019,"2019",2006,227.00000000000003,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.030383351256380354
3,"Foreign Born",4,"35 to 44 Years",2019,"2019",1460,231,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.02211350589945928
3,"Foreign Born",5,"45 to 54 Years",2019,"2019",740,209,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.011208215318904018
3,"Foreign Born",6,"55 to 59 Years",2019,"2019",155,100,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0023476667222028687
3,"Foreign Born",7,"60 & 61 Years",2019,"2019",80,92,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.001211698953395029
3,"Foreign Born",8,"62 to 64 Years",2019,"2019",120,73,"Ames, IA","16000US1901855","ames-ia","Foreign Born",0.0018175484300925436
