ID Group,Group,ID Industry,Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2019,"2019","04000US19","Iowa",645,235.53555994796199,"Ames, IA","16000US1901855","ames-ia"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2019,"2019","04000US19","Iowa",21,32.526911934581186,"Ames, IA","16000US1901855","ames-ia"
1,"Construction (Group)",2,"Construction",2019,"2019","04000US19","Iowa",1088,291.19409334668865,"Ames, IA","16000US1901855","ames-ia"
2,"Manufacturing (Group)",3,"Manufacturing",2019,"2019","04000US19","Iowa",2651,361.6144355525647,"Ames, IA","16000US1901855","ames-ia"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2019,"2019","04000US19","Iowa",738,304.4634625041238,"Ames, IA","16000US1901855","ames-ia"
4,"Retail Trade (Group)",5,"Retail Trade",2019,"2019","04000US19","Iowa",3195,457.8493201916979,"Ames, IA","16000US1901855","ames-ia"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2019,"2019","04000US19","Iowa",711,206.51634317893584,"Ames, IA","16000US1901855","ames-ia"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2019,"2019","04000US19","Iowa",94,77.07788269017254,"Ames, IA","16000US1901855","ames-ia"
6,"Information (Group)",8,"Information",2019,"2019","04000US19","Iowa",804,329.2430713014322,"Ames, IA","16000US1901855","ames-ia"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2019,"2019","04000US19","Iowa",1135,294.06971962444555,"Ames, IA","16000US1901855","ames-ia"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2019,"2019","04000US19","Iowa",585,227.66861883008823,"Ames, IA","16000US1901855","ames-ia"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2019,"2019","04000US19","Iowa",2200,362.0828634442674,"Ames, IA","16000US1901855","ames-ia"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,"Management of Companies & Enterprises",2019,"2019","04000US19","Iowa",37,47.07440918375928,"Ames, IA","16000US1901855","ames-ia"
8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,"Administrative & Support & Waste Management Services",2019,"2019","04000US19","Iowa",666,229.47330999486627,"Ames, IA","16000US1901855","ames-ia"
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2019,"2019","04000US19","Iowa",10400,705.1134660464229,"Ames, IA","16000US1901855","ames-ia"
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2019,"2019","04000US19","Iowa",3517,460.5844113732031,"Ames, IA","16000US1901855","ames-ia"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2019,"2019","04000US19","Iowa",573,193.19679086361657,"Ames, IA","16000US1901855","ames-ia"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2019,"2019","04000US19","Iowa",3660,512.9103235459391,"Ames, IA","16000US1901855","ames-ia"
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2019,"2019","04000US19","Iowa",960,261.767072031606,"Ames, IA","16000US1901855","ames-ia"
12,"Public Administration (Group)",19,"Public Administration",2019,"2019","04000US19","Iowa",1415,278.77230852435827,"Ames, IA","16000US1901855","ames-ia"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2018,"2018","04000US19","Iowa",599,210.23082552280482,"Ames, IA","16000US1901855","ames-ia"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2018,"2018","04000US19","Iowa",19,32.55764119219941,"Ames, IA","16000US1901855","ames-ia"
1,"Construction (Group)",2,"Construction",2018,"2018","04000US19","Iowa",1436,300.60106453570654,"Ames, IA","16000US1901855","ames-ia"
2,"Manufacturing (Group)",3,"Manufacturing",2018,"2018","04000US19","Iowa",2682,375.2292632511489,"Ames, IA","16000US1901855","ames-ia"
3,"Wholesale Trade (Group)",4,"Wholesale Trade",2018,"2018","04000US19","Iowa",559,224.54398232862974,"Ames, IA","16000US1901855","ames-ia"
4,"Retail Trade (Group)",5,"Retail Trade",2018,"2018","04000US19","Iowa",3328,454.82853912216194,"Ames, IA","16000US1901855","ames-ia"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2018,"2018","04000US19","Iowa",559,164.69365500832143,"Ames, IA","16000US1901855","ames-ia"
5,"Transportation & Warehousing, & Utilities",7,"Utilities",2018,"2018","04000US19","Iowa",104,65.37583651472463,"Ames, IA","16000US1901855","ames-ia"
6,"Information (Group)",8,"Information",2018,"2018","04000US19","Iowa",597,188.22327167489144,"Ames, IA","16000US1901855","ames-ia"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,"Finance & Insurance",2018,"2018","04000US19","Iowa",958,280.0714194629648,"Ames, IA","16000US1901855","ames-ia"
7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,"Real Estate & Rental & Leasing",2018,"2018","04000US19","Iowa",453,172.67889274604468,"Ames, IA","16000US1901855","ames-ia"
