ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
2019,"2019",62843,135,"United States","01000US","united-states"
2019,"2019",60523,321,"Iowa","04000US19","iowa"
2019,"2019",56756,2379,"Story County, IA","05000US19169","story-county-ia"
2019,"2019",58600,1954.9999999999998,"Ames, IA","31000US11180","ames-ia-31000US11180"
2019,"2019",58600,1954.9999999999998,"Ames City PUMA, IA","79500US1901300","ames-city-puma-ia"
2018,"2018",60293,140,"United States","01000US","united-states"
2018,"2018",58580,313,"Iowa","04000US19","iowa"
2018,"2018",54554,1754.9999999999998,"Story County, IA","05000US19169","story-county-ia"
2018,"2018",54554,1754.9999999999998,"Ames, IA","31000US11180","ames-ia-31000US11180"
2018,"2018",56299,2154,"Ames City PUMA, IA","79500US1901300","ames-city-puma-ia"
2017,"2017",57652,138,"United States","01000US","united-states"
2017,"2017",56570,303,"Iowa","04000US19","iowa"
2017,"2017",52671,2162,"Story County, IA","05000US19169","story-county-ia"
2017,"2017",52671,2162,"Ames, IA","31000US11180","ames-ia-31000US11180"
2017,"2017",54006,1893,"Ames City PUMA, IA","79500US1901300","ames-city-puma-ia"
2016,"2016",55322,120.00000000000001,"United States","01000US","united-states"
2016,"2016",54570,300,"Iowa","04000US19","iowa"
2016,"2016",51201,1342,"Story County, IA","05000US19169","story-county-ia"
2016,"2016",51201,1342,"Ames, IA","31000US11180","ames-ia-31000US11180"
2016,"2016",52027,1072,"Ames City PUMA, IA","79500US1901300","ames-city-puma-ia"
2015,"2015",53889,109.99999999999999,"United States","01000US","united-states"
2015,"2015",53183,313,"Iowa","04000US19","iowa"
2015,"2015",50438,1346,"Story County, IA","05000US19169","story-county-ia"
2015,"2015",50438,1346,"Ames, IA","31000US11180","ames-ia-31000US11180"
2015,"2015",51052,1130,"Ames City PUMA, IA","79500US1901300","ames-city-puma-ia"
2014,"2014",53482,95,"United States","01000US","united-states"
2014,"2014",52716,271,"Iowa","04000US19","iowa"
2014,"2014",51270,1680,"Story County, IA","05000US19169","story-county-ia"
2014,"2014",51270,1680,"Ames, IA","31000US11180","ames-ia-31000US11180"
2014,"2014",51686,1451,"Ames City PUMA, IA","79500US1901300","ames-city-puma-ia"
2013,"2013",53046,89,"United States","01000US","united-states"
2013,"2013",51843,258,"Iowa","04000US19","iowa"
2013,"2013",50516,1453,"Story County, IA","05000US19169","story-county-ia"
2013,"2013",50516,1453,"Ames, IA","31000US11180","ames-ia-31000US11180"
2013,"2013",50801,1269,"Ames City PUMA, IA","79500US1901300","ames-city-puma-ia"
