ID Wage Bin,Wage Bin,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography,share
1,"< $10K",2019,"2019","true","true",17042451,95317.60198287971,835057,"United States","01000US","united-states",0.11556759952992722
2,"$10-20k",2019,"2019","true","true",18892384,99643.37250557024,848357,"United States","01000US","united-states",0.12811229254979842
3,"$20-30k",2019,"2019","true","true",20640639,103441.25040824826,911251,"United States","01000US","united-states",0.13996749070857223
4,"$30-40k",2019,"2019","true","true",19166321,100256.20829823786,875269,"United States","01000US","united-states",0.12996990337774975
5,"$40-50k",2019,"2019","true","true",15446173,91297.53946066824,731539,"United States","01000US","united-states",0.1047429818360032
6,"$50-60k",2019,"2019","true","true",12628591,83427.96438350446,615952,"United States","01000US","united-states",0.08563650541317344
7,"$60-70k",2019,"2019","true","true",9446324,73001.34604451267,465426,"United States","01000US","united-states",0.06405704138811608
8,"$70-80k",2019,"2019","true","true",6957184,63211.69572615693,343645,"United States","01000US","united-states",0.04717778295903666
9,"$80-90k",2019,"2019","true","true",5694805,57446.33400501996,283176,"United States","01000US","united-states",0.03861738805298764
10,"$90-100k",2019,"2019","true","true",3828157,47408.71350722037,192508,"United States","01000US","united-states",0.025959347931449977
11,"$100-110k",2019,"2019","true","true",4097686,49003.2397579554,206456,"United States","01000US","united-states",0.027787067402886438
12,"$110-120k",2019,"2019","true","true",2035049,34781.2106203274,103588,"United States","01000US","united-states",0.013799994370280358
13,"$120-130k",2019,"2019","true","true",2227697,36366.163135774106,113413,"United States","01000US","united-states",0.015106371423336954
14,"$130-140k",2019,"2019","true","true",1324487,28128.040361589312,68152,"United States","01000US","united-states",0.008981559236907573
15,"$140-150k",2019,"2019","true","true",938473,23708.240422006944,48494,"United States","01000US","united-states",0.006363936257387473
16,"$150-160k",2019,"2019","true","true",1151395,26241.26902804472,59690,"United States","01000US","united-states",0.007807794563162339
17,"$160-170k",2019,"2019","true","true",833119,22345.908872593674,43181,"United States","01000US","united-states",0.005649513849432423
18,"$170-180k",2019,"2019","true","true",514213,17574.694217793032,26847,"United States","01000US","united-states",0.003486961004440175
19,"$180-190k",2019,"2019","true","true",535167,17927.921799044932,27834,"United States","01000US","united-states",0.0036290534464574705
20,"$190-200k",2019,"2019","true","true",314971,13764.034395106904,16554,"United States","01000US","united-states",0.0021358689775045096
21,"$200k+",2019,"2019","true","true",3752093,46947.779573723594,201901,"United States","01000US","united-states",0.02544354572138968
1,"< $10K",2019,"2019","true","true",200991,10254.741676368694,10423,"Iowa","04000US19",,0.13199281296503282
2,"$10-20k",2019,"2019","true","true",182739,9845.326035468845,8592,"Iowa","04000US19",,0.1200065408322618
3,"$20-30k",2019,"2019","true","true",198617,10203.150599564393,9616,"Iowa","04000US19",,0.1304337832672902
4,"$30-40k",2019,"2019","true","true",222178,10694.930977938815,11033,"Iowa","04000US19",,0.14590652914282262
5,"$40-50k",2019,"2019","true","true",186698,9936.691545693395,9841,"Iowa","04000US19",,0.12260645598532122
6,"$50-60k",2019,"2019","true","true",155712,9179.344296018071,8037,"Iowa","04000US19",,0.1022576378664278
7,"$60-70k",2019,"2019","true","true",107136,7748.194365042251,5313,"Iowa","04000US19",,0.07035728967875057
8,"$70-80k",2019,"2019","true","true",71556,6411.300945167143,3432,"Iowa","04000US19",,0.04699154551460458
9,"$80-90k",2019,"2019","true","true",51525,5477.83520579089,2361,"Iowa","04000US19",,0.03383698617362626
10,"$90-100k",2019,"2019","true","true",29770,4194.46760044387,1378,"Iowa","04000US19",,0.019550258678095175
11,"$100-110k",2019,"2019","true","true",30798,4264.804363008258,1368,"Iowa","04000US19",,0.020225356626401583
12,"$110-120k",2019,"2019","true","true",16678,3153.2274158498867,696,"Iowa","04000US19",,0.01095261048818513
13,"$120-130k",2019,"2019","true","true",15564,3047.2246970831734,607,"Iowa","04000US19",,0.010221035474164369
14,"$130-140k",2019,"2019","true","true",9029,2325.9650903108814,353,"Iowa","04000US19",,0.005929435189940252
15,"$140-150k",2019,"2019","true","true",4804,1698.9872171955196,210,"Iowa","04000US19",,0.0031548351592062215
16,"$150-160k",2019,"2019","true","true",6698,2004.8877854320103,288,"Iowa","04000US19",,0.004398644025054802
17,"$160-170k",2019,"2019","true","true",4153,1580.020369146534,167,"Iowa","04000US19",,0.0027273169059499245
18,"$170-180k",2019,"2019","true","true",2051,1111.1301020122894,85,"Iowa","04000US19",,0.0013469123462805912
19,"$180-190k",2019,"2019","true","true",3061,1356.9675961803275,116,"Iowa","04000US19",,0.002010189513390975
20,"$190-200k",2019,"2019","true","true",1998,1096.698862823182,71,"Iowa","04000US19",,0.0013121067127589573
21,"$200k+",2019,"2019","true","true",20986,3532.0441009455426,874,"Iowa","04000US19",,0.013781717454434171
1,"< $10K",2018,"2018","true","true",17555653,96456.22527051755,854123,"United States","01000US","united-states",0.12078716589666996
2,"$10-20k",2018,"2018","true","true",19524788,100935.2301845988,873885,"United States","01000US","united-states",0.13433529400776553
3,"$20-30k",2018,"2018","true","true",21188690,104450.57368287545,940372,"United States","01000US","united-states",0.14578334478148502
4,"$30-40k",2018,"2018","true","true",18402436,98427.33329916793,847441,"United States","01000US","united-states",0.12661323905381655
5,"$40-50k",2018,"2018","true","true",15266406,90749.82635532656,726971,"United States","01000US","united-states",0.10503658930647113
6,"$50-60k",2018,"2018","true","true",12290467,82351.8880370812,599977,"United States","01000US","united-states",0.08456140460719676
7,"$60-70k",2018,"2018","true","true",9341119,72585.46774018482,459137,"United States","01000US","united-states",0.06426917246049098
8,"$70-80k",2018,"2018","true","true",6567931,61481.96855726834,324120,"United States","01000US","united-states",0.045188963993243736
9,"$80-90k",2018,"2018","true","true",5153214,54736.24643369939,256069,"United States","01000US","united-states",0.03545536667414435
10,"$90-100k",2018,"2018","true","true",3678745,46489.80333173915,184519,"United States","01000US","united-states",0.025310661050690915
